Menu Item,Item Type,Item Temp,Wheat,Gluten,Milk,Egg,Soy,Peanuts,Tree Nuts,Fish,Shellfish,Sesame,Mustard,Sulphites,Food chain,Barley,Oat,Rye,Triticale
Premium Tea - Eotra Large,,Hot,,,,,,,,,,,,,McD,,,,
Premium Tea - Large,,Hot,,,,,,,,,,,,,McD,,,,
Premium Tea - Medium,,Hot,,,,,,,,,,,,,McD,,,,
Premium Tea - Small,,Hot,,,,,,,,,,,,,McD,,,,
Strawberry & Banana Protein Smoothie - Medium,,Cold,,,X,,,,,,,,,,McD,,,,
Strawberry & Banana Protein Smoothie - Small,,Cold,,,X,,,,,,,,,,McD,,,,
Strawberry & Banana Real Fruit Smoothie with yogurt  - Medium,,Cold,,,X,,,,,,,,,,McD,,,,
Strawberry & Banana Real Fruit Smoothie with yogurt  - Small,,Cold,,,X,,,,,,,,,,McD,,,,
Strawberry & Banana Real Fruit Smoothie with yogurt - Large,,Cold,,,X,,,,,,,,,,McD,,,,
Strawberry & Banana Real Fruit Smoothie without yogurt - Large,,Cold,,,,,,,,,,,,,McD,,,,
Strawberry & Banana Real Fruit Smoothie without yogurt - Medium,,Cold,,,,,,,,,,,,,McD,,,,
Strawberry & Banana Real Fruit Smoothie without yogurt - Small,,Cold,,,,,,,,,,,,,McD,,,,
Strawberry & Banana Real Fruit Smoothie without yogurt - Snack Size,,Cold,,,,,,,,,,,,,McD,,,,
Strawberry Cream Cheese Danish,,Hot,X,,X,X,o,,,,,,,,McD,,,,
"Sugar Free Vanilla Cappuccino with 2% milk
- Large",,Hot,,,X,,,,,,,,,X,McD,,,,
"Sugar Free Vanilla Cappuccino with 2% milk
- Medium",,Hot,,,X,,,,,,,,,X,McD,,,,
"Sugar Free Vanilla Cappuccino with 2% milk
- Small",,Hot,,,X,,,,,,,,,X,McD,,,,
Sugar Free Vanilla Cappuccino with skim milk - Large,,Hot,,,X,,,,,,,,,X,McD,,,,
Sugar Free Vanilla Cappuccino with skim milk - Medium,,Hot,,,X,,,,,,,,,X,McD,,,,
Sugar Free Vanilla Cappuccino with skim milk - Small,,Hot,,,X,,,,,,,,,X,McD,,,,
Sugar Free Vanilla Iced Coffee - Large,,Cold,,,X,,,,,,,,,X,McD,,,,
Sugar Free Vanilla Iced Coffee - Medium,,Cold,,,X,,,,,,,,,X,McD,,,,
Sugar Free Vanilla Iced Coffee - Small,,Cold,,,X,,,,,,,,,X,McD,,,,
Sugar Free Vanilla Latte with 2% milk - Large,,Hot,,,X,,,,,,,,,X,McD,,,,
Sugar Free Vanilla Latte with 2% milk - Medium,,Hot,,,X,,,,,,,,,X,McD,,,,
Sugar Free Vanilla Latte with 2% milk - Small,,Hot,,,X,,,,,,,,,X,McD,,,,
Sugar Free Vanilla Latte with skim milk - Large,,Hot,,,X,,,,,,,,,X,McD,,,,
Sugar Free Vanilla Latte with skim milk - Medium,,Hot,,,X,,,,,,,,,X,McD,,,,
Sugar Free Vanilla Latte with skim milk - Small,,Hot,,,X,,,,,,,,,X,McD,,,,
"Vanilla Chai Iced Frappé
- Large",,Cold,,,X,,,,,,,,,,McD,,,,
"Vanilla Chai Iced Frappé
- Medium",,Cold,,,X,,,,,,,,,,McD,,,,
"Vanilla Chai Iced Frappé
- Small",,Cold,,,X,,,,,,,,,,McD,,,,
"Vanilla Chai Iced Frappé
- Snack Size",,Cold,,,X,,,,,,,,,,McD,,,,
Bacon & Cheddar Angus,,Hot,X,,X,,,,,,,X,X,,McD,X,,,
Big Mac,,Hot,X,,X,X,X,,,,,X,X,,McD,X,,,
Cheeseburger,,Hot,X,,X,,X,,,,,o,X,,McD,X,,,
Double Big Mac,,Hot,X,,X,X,X,,,,,X,X,,McD,X,,,
Double Cheeseburger,,Hot,X,,X,,X,,,,,o,X,,McD,X,,,
Double Quarter Pounder with Cheese,,Hot,X,,X,,X,,,,,X,X,,McD,X,,,
Double Quarter Pounder without Cheese,,Hot,X,,,,,,,,,X,X,,McD,X,,,
Hamburger,,Hot,X,,,,,,,,,o,X,,McD,X,,,
McDouble,,Hot,X,,X,,X,,,,,o,X,,McD,X,,,
Mighty Angus Original,,Hot,X,,X,X,X,,,,,X,X,,McD,X,,,
Quarter Pounder BLT,,Hot,X,,X,X,X,,,,,X,X,,McD,X,,,
Quarter Pounder with Cheese,,Hot,X,,X,,X,,,,,X,X,,McD,X,,,
Quarter Pounder without Cheese,,Hot,X,,,,,,,,,X,X,,McD,X,,,
10 Chicken McNuggets,,Hot,X,,,,,,,,,,,,McD,,,,
20 Chicken McNuggets,,Hot,X,,,,,,,,,,,,McD,,,,
4 Chicken McNuggets,,Hot,X,,,,,,,,,,,,McD,,,,
6 Chicken McNuggets,,Hot,X,,,,,,,,,,,,McD,,,,
BLT with Crispy Chicken,,Hot,X,,X,X,,,,,,o,X,,McD,,,,
BLT with Grilled Chicken,,Hot,X,,X,X,,,,,,o,X,,McD,,,,
Chicken & Bacon McWrap with Crispy Chicken,,Hot,X,,,X,,,,,,,X,,McD,,,,
Chicken & Bacon McWrap with Grilled Chicken,,Hot,X,,X,X,,,,,,,X,,McD,,,,
Chipotle Chicken Snack Wrap with Crispy Chicken,,Hot,X,,X,,,,,,,,,,McD,,,,
Chipotle Chicken Snack Wrap with Grilled Chicken,,Hot,X,,X,,,,,,,,,,McD,,,,
Junior Chicken,,Hot,X,,,X,,,,,,o,X,,McD,X,,,
McChicken,,Hot,X,,,X,X,,,,,X,X,,McD,X,,,
New Caesar McWrap with Crispy Chicken,,Hot,X,,X,X,,,,,,,,,McD,,,,
New Caesar McWrap with Grilled Chicken,,Hot,X,,X,X,,,,,,,,,McD,,,,
New Cajun McWrap with Crispy Chicken,,Hot,X,,X,X,X,,,,,,X,,McD,,,,
New Cajun McWrap with Grilled Chicken,,Hot,X,,X,X,X,,,,,,X,,McD,,,,
Ranch Chicken Snack Wrap with Crispy Chicken,,Hot,X,,X,X,,,,,,,,,McD,,,,
Ranch Chicken Snack Wrap with Grilled Chicken,,Hot,X,,X,X,,,,,,,,,McD,,,,
Sweet Chili Signature McWrap with Crispy Chicken,,Hot,X,,,X,,,,,,,X,,McD,,,,
Sweet Chili Signature McWrap with Grilled Chicken,,Hot,X,,X,X,,,,,,,X,,McD,,,,
Tomato & Mozzarella with Crispy Chicken,,Hot,X,,X,X,,,,,,o,X,,McD,,,,
Tomato & Mozzarella with Grilled Chicken,,Hot,X,,X,X,,,,,,o,X,,McD,,,,
Chicken & Bacon McWrap with Crispy Chicken,,Hot,X,,,X,,,,,,,X,,McD,,,,
Chicken & Bacon McWrap with Grilled Chicken,,Hot,X,,X,X,,,,,,,X,,McD,,,,
Chipotle Chicken Snack Wrap with Crispy Chicken,,Hot,X,,X,,,,,,,,,,McD,,,,
Chipotle Chicken Snack Wrap with Grilled Chicken,,Hot,X,,X,,,,,,,,,,McD,,,,
Double FiIet-O-Fish,,Hot,X,,X,X,X,,,X,,o,X,,McD,X,,,
FiIet-O-Fish,,Hot,X,,X,X,X,,,X,,o,X,,McD,X,,,
Meoican Chipotle Burger,,Hot,X,,X,X,X,,,,,X,X,,McD,X,,,
New Caesar McWrap with Crispy Chicken,,Hot,X,,X,X,,,,,,,,,McD,,,,
New Caesar McWrap with Grilled Chicken,,Hot,X,,X,X,,,,,,,,,McD,,,,
New Cajun McWrap with Crispy Chicken,,Hot,X,,X,X,X,,,,,,X,,McD,,,,
New Cajun McWrap with Grilled Chicken,,Hot,X,,X,X,X,,,,,,X,,McD,,,,
Ranch Chicken Snack Wrap with Crispy Chicken,,Hot,X,,X,X,,,,,,,,,McD,,,,
Ranch Chicken Snack Wrap with Grilled Chicken,,Hot,X,,X,X,,,,,,,,,McD,,,,
Sweet Chili Signature McWrap with Crispy Chicken,,Hot,X,,,X,,,,,,,X,,McD,,,,
Sweet Chili Signature McWrap with Grilled Chicken,,Hot,X,,X,X,,,,,,,X,,McD,,,,
Thai Sweet Chili Chicken sandwich,,Hot,X,,o,X,,,,,,X,X,,McD,X,,,
Asian Cashew Salad with Crispy Chicken,,Hot,o,,o,,o,,X,,,X,,o,McD,,,,
Asian Cashew Salad with Grilled Chicken,,Hot,o,,o,,o,,o,,,o,,o,McD,,,,
Caesar Bacon Salad with Crispy Chicken,,Hot,X,,X,,X,,,,,,,,McD,,,,
Caesar Bacon Salad with Grilled Chicken,,Hot,X,,X,,X,,,,,,,,McD,,,,
Caesar Side Salad,,Hot,X,,X,,X,,,,,,,,McD,,,,
Garden Fresh Side Salad,,Hot,,,X,,,,,,,,,,McD,,,,
Greek Feta Salad with Crispy Chicken,,Hot,X,,X,,,,,,,,,X,McD,,,,
Greek Feta Salad with Grilled Chicken,,Hot,X,,X,,,,,,,,,X,McD,,,,
"1% Partly Skimmed Milk
- 250 ml",,Hot,,,X,,,,,,,,,,McD,,,,
4 Chicken McNuggets,,Hot,X,,,,,,,,,,,,McD,,,,
Apple Slices,,Hot,,,,,,,,,,,,,McD,,,,
Cheeseburger,,Hot,X,,X,,X,,,,,o,X,,McD,X,,,
Dasani Water,,Hot,,,,,,,,,,,,,McD,,,,
Hamburger,,Hot,X,,,,,,,,,o,X,,McD,X,,,
Hotcakes,,Hot,X,,X,X,X,,,,,,,,McD,,,,
"Minute Maid Apple Juice
- Small",,Hot,,,,,,,,,,,,,McD,,,,
Minute Maid Orange Juice - Small,,Hot,,,,,,,,,,,,,McD,,,,
Ranch Chicken Snack Wrap with Crispy Chicken,,Hot,X,,X,X,,,,,,,,,McD,,,,
Ranch Chicken Snack Wrap with Grilled Chicken,,Hot,X,,X,X,,,,,,,,,McD,,,,
Strawberry Yogurt Tube,,Hot,,,X,,,,,,,,,,McD,,,,
World Famous Fries - Mini,,Hot,,,,,,,,,,,,,McD,,,,
World Famous Fries - Small,,Hot,,,,,,,,,,,,,McD,,,,
"1% Partly Skimmed Milk
- 250 ml",,Hot,,,X,,,,,,,,,,McD,,,,
Barq's Root Beer - Child,,Cold,,,,,,,,,,,,,McD,,,,
Barq's Root Beer - Large,,Cold,,,,,,,,,,,,,McD,,,,
Barq's Root Beer - Medium,,Cold,,,,,,,,,,,,,McD,,,,
Barq's Root Beer - Small,,Cold,,,,,,,,,,,,,McD,,,,
Coca-Cola - Child,,Cold,,,,,,,,,,,,,McD,,,,
Coca-Cola- Large,,Cold,,,,,,,,,,,,,McD,,,,
Coca-Cola - Medium,,Cold,,,,,,,,,,,,,McD,,,,
Coca-Cola - Small,,Cold,,,,,,,,,,,,,McD,,,,
Coca-Cola Zero - Child,,Cold,,,,,,,,,,,,,McD,,,,
Coca-Cola Zero - Large,,Cold,,,,,,,,,,,,,McD,,,,
Coca-Cola Zero - Medium,,Cold,,,,,,,,,,,,,McD,,,,
Coca-Cola Zero - Small,,Cold,,,,,,,,,,,,,McD,,,,
Dasani Water,,Cold,,,,,,,,,,,,,McD,,,,
Diet Coke - Child,,Cold,,,,,,,,,,,,,McD,,,,
Diet Coke - Large,,Cold,,,,,,,,,,,,,McD,,,,
Diet Coke - Medium,,Cold,,,,,,,,,,,,,McD,,,,
Diet Coke - Small,,Cold,,,,,,,,,,,,,McD,,,,
"Fruitopia Orange Groove
- Child",,Cold,,,,,,,,,,,,,McD,,,,
"Fruitopia Orange Groove
- Large",,Cold,,,,,,,,,,,,,McD,,,,
"Fruitopia Orange Groove
- Medium",,Cold,,,,,,,,,,,,,McD,,,,
"Fruitopia Orange Groove
- Small",,Cold,,,,,,,,,,,,,McD,,,,
Fruitopia Strawberry Passion Awareness - Child,,Cold,,,,,,,,,,,,,McD,,,,
Fruitopia Strawberry Passion Awareness - Large,,Cold,,,,,,,,,,,,,McD,,,,
Fruitopia Strawberry Passion Awareness - Medium,,Cold,,,,,,,,,,,,,McD,,,,
Fruitopia Strawberry Passion Awareness - Small,,Cold,,,,,,,,,,,,,McD,,,,
Higgins & Burke Hot Chocolate,,Hot,,,X,,,,,,,,,,McD,,,,
"Minute Maid Apple Juice
- Large",,Cold,,,,,,,,,,,,,McD,,,,
"Minute Maid Apple Juice
- Medium",,Cold,,,,,,,,,,,,,McD,,,,
"Minute Maid Apple Juice
- Small",,Cold,,,,,,,,,,,,,McD,,,,
Minute Maid Orange Juice - Large,,Cold,,,,,,,,,,,,,McD,,,,
Minute Maid Orange Juice - Medium,,Cold,,,,,,,,,,,,,McD,,,,
Minute Maid Orange Juice - Small,,Cold,,,,,,,,,,,,,McD,,,,
Nestea lced Tea - Child,,Cold,,,,,,,,,,,,,McD,,,,
Nestea lced Tea - Large,,Cold,,,,,,,,,,,,,McD,,,,
Nestea lced Tea - Medium,,Cold,,,,,,,,,,,,,McD,,,,
Nestea lced Tea - Small,,Cold,,,,,,,,,,,,,McD,,,,
Sprite - Child,,Cold,,,,,,,,,,,,,McD,,,,
Sprite - Large,,Cold,,,,,,,,,,,,,McD,,,,
Sprite - Medium,,Cold,,,,,,,,,,,,,McD,,,,
Sprite - Small,,Cold,,,,,,,,,,,,,McD,,,,
Apple Slices,,Cold,,,,,,,,,,,,,McD,,,,
Banana Chocolate Chunk Muffin,,Hot,o,,X,X,X,,,,,,,,McD,X,X,,
Blueberry Muffin,,Hot,X,,X,X,X,,,,,,,,McD,X,X,,
Brownie RMHC Cookie,,Hot,X,,X,X,X,,,,,,,,McD,,,,
Carrot Muffin,,Hot,X,,X,X,X,,,,,,,,McD,,,,
Chewy Oatmeal Carame RMHC Cookie,,Hot,X,,X,X,X,,o,,,,,,McD,X,X,,
Chocolate Caramel RMHC Cookie,,Hot,X,,X,X,X,,,,,,,,McD,X,,,
Chocolate Chunk RMHC Cookie,,Hot,X,,X,X,X,,,,,,,,McD,X,,,
Fruit and Fibre Muffin,,Hot,X,,X,X,X,,,,,,,,McD,,,,
LiI'Gem RMHC Cookie,,Hot,X,,X,X,X,,,,,,,,McD,X,X,,
New Strawberries and Cream  Muffin,,Hot,X,,X,X,X,,,,,,,,McD,,X,,
Poutine,,Hot,,,X,,,,,,,,,,McD,,,,
World Famous Fries - Large,,Hot,,,,,,,,,,,,,McD,,,,
World Famous Fries - Medium,,Hot,,,,,,,,,,,,,McD,,,,
World Famous Fries - Mini,,Hot,,,,,,,,,,,,,McD,,,,
World Famous Fries - Small,,Hot,,,,,,,,,,,,,McD,,,,
Baked Apple Pie,,Hot,X,,,,X,,,,,,,,McD,,,,
Baked Strawberry Pie,,Hot,X,,,,X,,,,,,,,McD,,,,
Chocolate Birthday Cake,,Cold,X,,X,X,X,,,,,,,,McD,,,,
Chocolate Triple Thick Milkshake - Large,,Cold,,,X,,,,,,,,,,McD,,,,
Chocolate Triple Thick Milkshake - Medium,,Cold,,,X,,,,,,,,,,McD,,,,
Chocolate Triple Thick Milkshake - Small,,Cold,,,X,,,,,,,,,,McD,,,,
Hot Caramel Sundae,,Hot,,,X,,,,,,,,,,McD,,,,
Hot Fudge Sundae,,Hot,,,X,,X,,,,,,,,McD,,,,
M&M’s McFlurry - Regular Size,,Cold,,,X,,X,,,,,,,,McD,,,,
M&M's McFlurry - Snack Size,,Cold,,,X,,X,,,,,,,,McD,,,,
Mini Reese's Pieces McFlurry - Snack,,Cold,,,X,,X,,,,,,,,McD,,,,
Mini Reese's Pieces McFlurry - Regular,,Cold,,,X,,X,,,,,,,,McD,,,,
Oreo McFlurry - Regular Size,,Cold,X,,X,,X,,,,,,,,McD,,,,
Oreo McFlurry - Snack Size,,Cold,X,,X,,X,,,,,,,,McD,,,,
SKOR McFlurry - Regular Size,,Cold,,,X,,X,,X,,,,,,McD,,,,
SKOR McFlurry - Snack Size,,Cold,,,X,,X,,X,,,,,,McD,,,,
Strawberry Triple Thick Milkshake - Large,,Cold,,,X,,,,,,,,,,McD,,,,
Strawberry Triple Thick Milkshake - Medium,,Cold,,,X,,,,,,,,,,McD,,,,
Strawberry Triple Thick Milkshake - Small,,Cold,,,X,,,,,,,,,,McD,,,,
Strawberry Yogurt Tube,,Cold,,,X,,,,,,,,,,McD,,,,
Vanilla Birthday Cake,,Cold,X,,X,X,X,,,,,,,,McD,,,,
Vanilla Cone,,Cold,X,,X,,X,,,,,,,,McD,,,,
Vanilla McFlurry Base - Regular portion,,Cold,,,X,,,,,,,,,,McD,,,,
Vanilla McFlurry Base - Snack portion,,Cold,,,X,,,,,,,,,,McD,,,,
Vanilla Triple Thick Milkshake - Large,,Cold,,,X,,,,,,,,,,McD,,,,
Vanilla Triple Thick Milkshake - Medium,,Cold,,,X,,,,,,,,,,McD,,,,
Vanilla Triple Thick Milkshake - Small,,Cold,,,X,,,,,,,,,,McD,,,,
Becel Margarine Portion,,,,,X,,X,,,,,,,,McD,,,,
Butter Portion,,,,,X,,,,,,,,,,McD,,,,
Butter Portion Whipped,,,,,X,,,,,,,,,,McD,,,,
Chicken McNuggets Barbeque Sauce,,,X,,,,X,,,,,,X,,McD,,,,
Chicken McNuggets Hot Mustard Sauce,,,,,,X,,,,,,,X,,McD,,,,
Chicken McNuggets Sweet & Sour Sauce,,,X,,,,X,,,,,,X,,McD,,,,
Granulated Peanuts Packet,,,,,,,,,,,,,,,McD,,,,
Honey Packet,,,,,,,,,,,,,,,McD,,,,
Hotcake Syrup Packet,,,,,,,,,,,,,,,McD,,,,
Ketchup Packet,,,,,,,,,,,,,,,McD,,,,
Maple Brown Sugar Packet,,,,,,,,,,,,,,,McD,,,,
McChicken Sauce Packet,,,,,,X,,,,,,,X,,McD,,,,
Peanut Butter Packet,,,,,,,X,,,,,,,,McD,,,,
Pure Kraft Asiago Caesar Dressing,,,X,,X,X,X,,,X,,,,,McD,,,,
Pure Kraft Calorie-Wise Asiago Caesar Dressing,,,X,,X,X,X,,,X,,,,,McD,,,,
Pure Kraft Greek Feta Dressing,,,,,X,,,,,,,,,,McD,,,,
Pure Kraft Sesame Dressing,,,X,,,,X,,,,,X,,,McD,,,,
Pure Kraft Sweet Balsamic Vinaigrette Dressing,,,,,,,,,,,,,,,McD,,,,
Salsa Sauce Packet,,,,,,,,,,,,,,,McD,,,,
Spicy Buffalo Sauce,,,,,X,,,,,,,,,,McD,,,,
Strawberry Jam Packet,,,,,,,,,,,,,,,McD,,,,
Vinegar Packet,,,,,,,,,,,,,,,McD,,,,
Baked Apple Pie,,Hot,X,,,,X,,,,,,,,McD,,,,
Cheeseburger,,Hot,X,,X,,X,,,,,o,X,,McD,X,,,
Hamburger,,Hot,X,,,,,,,,,o,X,,McD,X,,,
Junior Chicken,,Hot,X,,,X,,,,,,o,X,,McD,X,,,
McDouble,,Hot,X,,X,,X,,,,,o,X,,McD,X,,,
Sausage McMuffin,,Hot,X,,X,,X,,,,,,,,McD,X,,,
Vanilla Cone,,Hot,X,,X,,X,,,,,,,,McD,,,,
World Famous Fries –Small,,Hot,,,,,,,,,,,,,McD,,,,
